Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-n0009sm-il-1000000
Airfoil,n0009sm-il
Reynolds number,1000000
Ncrit,9
Mach,0
Max Cl/Cd,74.7238
Max Cl/Cd alpha,8
Url,http://airfoiltools.com/polar/csv?polar=xf-n0009sm-il-1000000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.500,-1.0266,0.01498,0.00950,-0.0038,1.0000,0.0078
-9.250,-1.0087,0.01427,0.00874,-0.0020,1.0000,0.0093
-9.000,-0.9884,0.01382,0.00826,-0.0007,1.0000,0.0104
-8.750,-0.9685,0.01333,0.00771,0.0008,1.0000,0.0119
-8.500,-0.9485,0.01286,0.00726,0.0022,1.0000,0.0145
-8.250,-0.9267,0.01259,0.00696,0.0033,1.0000,0.0161
-8.000,-0.9066,0.01213,0.00654,0.0047,1.0000,0.0202
-7.750,-0.8842,0.01193,0.00632,0.0058,1.0000,0.0223
-7.500,-0.8620,0.01172,0.00607,0.0069,1.0000,0.0237
-7.250,-0.8417,0.01130,0.00568,0.0083,1.0000,0.0273
-7.000,-0.8193,0.01112,0.00550,0.0094,1.0000,0.0297
-6.750,-0.7967,0.01097,0.00534,0.0104,1.0000,0.0313
-6.500,-0.7737,0.01089,0.00524,0.0114,1.0000,0.0321
-6.250,-0.7546,0.01035,0.00465,0.0131,1.0000,0.0357
-6.000,-0.7332,0.01010,0.00439,0.0144,1.0000,0.0384
-5.750,-0.7112,0.00990,0.00418,0.0155,1.0000,0.0407
-5.500,-0.6888,0.00979,0.00405,0.0166,1.0000,0.0424
-5.250,-0.6586,0.00948,0.00372,0.0160,0.9990,0.0468
-5.000,-0.6243,0.00923,0.00349,0.0145,0.9972,0.0515
-4.750,-0.5891,0.00907,0.00330,0.0128,0.9954,0.0547
-4.500,-0.5537,0.00878,0.00305,0.0111,0.9938,0.0628
-4.250,-0.5211,0.00856,0.00284,0.0100,0.9913,0.0701
-4.000,-0.4881,0.00825,0.00262,0.0088,0.9885,0.0867
-3.750,-0.4543,0.00791,0.00241,0.0074,0.9859,0.1150
-3.500,-0.4198,0.00752,0.00222,0.0057,0.9837,0.1602
-3.250,-0.3843,0.00715,0.00205,0.0039,0.9820,0.2085
-3.000,-0.3557,0.00677,0.00188,0.0036,0.9771,0.2597
-2.750,-0.3231,0.00641,0.00172,0.0025,0.9733,0.3124
-2.500,-0.2883,0.00610,0.00158,0.0009,0.9705,0.3601
-2.250,-0.2521,0.00580,0.00146,-0.0010,0.9683,0.4071
-2.000,-0.2245,0.00552,0.00135,-0.0009,0.9606,0.4568
-1.750,-0.1893,0.00525,0.00124,-0.0025,0.9551,0.5038
-1.500,-0.1589,0.00501,0.00115,-0.0030,0.9442,0.5473
-1.250,-0.1276,0.00478,0.00107,-0.0037,0.9319,0.5947
-1.000,-0.0987,0.00454,0.00100,-0.0038,0.9149,0.6526
-0.750,-0.0729,0.00435,0.00095,-0.0031,0.8922,0.7080
-0.500,-0.0475,0.00427,0.00091,-0.0023,0.8666,0.7431
-0.250,-0.0235,0.00423,0.00088,-0.0012,0.8388,0.7762
0.000,0.0000,0.00422,0.00088,0.0000,0.8078,0.8080
0.250,0.0234,0.00423,0.00088,0.0012,0.7754,0.8383
0.500,0.0475,0.00427,0.00091,0.0024,0.7432,0.8667
0.750,0.0729,0.00435,0.00095,0.0031,0.7088,0.8922
1.000,0.0986,0.00454,0.00100,0.0038,0.6521,0.9148
1.250,0.1275,0.00478,0.00107,0.0037,0.5945,0.9317
1.500,0.1590,0.00500,0.00115,0.0030,0.5491,0.9442
1.750,0.1894,0.00525,0.00124,0.0025,0.5040,0.9551
2.000,0.2244,0.00553,0.00135,0.0010,0.4549,0.9606
2.250,0.2522,0.00580,0.00146,0.0010,0.4074,0.9683
2.500,0.2884,0.00610,0.00158,-0.0009,0.3602,0.9705
2.750,0.3232,0.00641,0.00172,-0.0025,0.3123,0.9733
3.000,0.3556,0.00677,0.00188,-0.0036,0.2592,0.9772
3.250,0.3845,0.00715,0.00205,-0.0039,0.2079,0.9820
3.500,0.4200,0.00752,0.00222,-0.0058,0.1597,0.9837
3.750,0.4544,0.00791,0.00241,-0.0074,0.1151,0.9859
4.000,0.4882,0.00825,0.00262,-0.0088,0.0865,0.9885
4.250,0.5213,0.00855,0.00284,-0.0101,0.0703,0.9914
4.500,0.5540,0.00878,0.00305,-0.0112,0.0626,0.9938
4.750,0.5893,0.00906,0.00330,-0.0129,0.0546,0.9954
5.000,0.6245,0.00923,0.00349,-0.0145,0.0514,0.9973
5.250,0.6588,0.00948,0.00372,-0.0160,0.0467,0.9990
5.500,0.6886,0.00979,0.00405,-0.0166,0.0425,1.0000
5.750,0.7110,0.00990,0.00418,-0.0155,0.0407,1.0000
6.000,0.7330,0.01009,0.00438,-0.0143,0.0383,1.0000
6.250,0.7544,0.01035,0.00465,-0.0130,0.0358,1.0000
6.500,0.7734,0.01090,0.00525,-0.0113,0.0321,1.0000
6.750,0.7966,0.01097,0.00533,-0.0104,0.0313,1.0000
7.000,0.8195,0.01108,0.00546,-0.0094,0.0295,1.0000
7.250,0.8416,0.01129,0.00566,-0.0083,0.0272,1.0000
7.500,0.8619,0.01171,0.00607,-0.0068,0.0237,1.0000
7.750,0.8841,0.01193,0.00632,-0.0057,0.0223,1.0000
8.000,0.9064,0.01213,0.00654,-0.0047,0.0201,1.0000
8.250,0.9262,0.01262,0.00700,-0.0032,0.0161,1.0000
8.500,0.9483,0.01286,0.00727,-0.0021,0.0146,1.0000
8.750,0.9684,0.01333,0.00771,-0.0007,0.0119,1.0000
9.000,0.9883,0.01383,0.00826,0.0007,0.0104,1.0000
9.250,1.0086,0.01426,0.00873,0.0021,0.0092,1.0000
9.500,1.0263,0.01501,0.00953,0.0038,0.0077,1.0000
9.750,1.0447,0.01567,0.01030,0.0055,0.0071,1.0000
10.000,1.0642,0.01621,0.01090,0.0069,0.0065,1.0000
10.250,1.0825,0.01685,0.01162,0.0085,0.0061,1.0000
10.500,1.1005,0.01752,0.01237,0.0101,0.0057,1.0000
10.750,1.1148,0.01858,0.01353,0.0122,0.0051,1.0000
11.000,1.1221,0.02029,0.01547,0.0152,0.0048,1.0000
11.250,1.1390,0.02100,0.01627,0.0168,0.0047,1.0000
11.500,1.1556,0.02170,0.01706,0.0184,0.0045,1.0000
11.750,1.1693,0.02265,0.01812,0.0203,0.0044,1.0000
12.000,1.1825,0.02358,0.01918,0.0223,0.0042,1.0000
12.250,1.1920,0.02475,0.02049,0.0247,0.0041,1.0000
12.500,1.2007,0.02590,0.02177,0.0270,0.0040,1.0000
12.750,1.2089,0.02689,0.02285,0.0295,0.0038,1.0000
13.000,1.2030,0.02851,0.02464,0.0338,0.0038,1.0000
13.250,1.2041,0.02989,0.02614,0.0365,0.0037,1.0000
13.500,1.2026,0.03162,0.02800,0.0388,0.0037,1.0000
13.750,1.1965,0.03395,0.03049,0.0405,0.0036,1.0000
14.000,1.1930,0.03642,0.03308,0.0410,0.0035,1.0000
14.250,1.1852,0.03982,0.03663,0.0403,0.0035,1.0000
14.500,1.1714,0.04477,0.04175,0.0377,0.0034,1.0000
14.750,1.1570,0.05090,0.04804,0.0333,0.0033,1.0000
15.000,1.1258,0.06115,0.05854,0.0257,0.0035,1.0000
15.250,1.0770,0.07545,0.07309,0.0164,0.0037,1.0000
15.500,1.0198,0.09089,0.08872,0.0078,0.0039,1.0000
15.750,0.9688,0.10517,0.10311,0.0005,0.0039,1.0000
16.000,0.9237,0.11857,0.11660,-0.0061,0.0041,1.0000
16.250,0.8587,0.13792,0.13608,-0.0156,0.0045,1.0000
