Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca2412-il-100000
Airfoil,naca2412-il
Reynolds number,100000
Ncrit,9
Mach,0
Max Cl/Cd,50.0368
Max Cl/Cd alpha,6.75
Url,http://airfoiltools.com/polar/csv?polar=xf-naca2412-il-100000

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
7.500,0.9979,0.02093,0.01235,-0.0352,0.2703,1.0000
7.750,1.0091,0.02212,0.01328,-0.0327,0.2267,1.0000
8.000,1.0201,0.02352,0.01435,-0.0302,0.1933,1.0000
8.250,1.0338,0.02486,0.01554,-0.0281,0.1685,1.0000
8.500,1.0496,0.02622,0.01676,-0.0264,0.1519,1.0000
8.750,1.0677,0.02760,0.01807,-0.0250,0.1395,1.0000
9.000,1.0874,0.02904,0.01944,-0.0240,0.1298,1.0000
9.250,1.1079,0.03035,0.02072,-0.0230,0.1217,1.0000
9.500,1.1314,0.03206,0.02248,-0.0225,0.1157,1.0000
9.750,1.1526,0.03349,0.02400,-0.0216,0.1100,1.0000
10.000,1.1784,0.03556,0.02597,-0.0217,0.1048,1.0000
10.250,1.1961,0.03723,0.02797,-0.0203,0.1011,1.0000
10.500,1.2140,0.03894,0.02985,-0.0192,0.0972,1.0000
10.750,1.2391,0.04137,0.03216,-0.0194,0.0930,1.0000
11.000,1.2486,0.04359,0.03478,-0.0172,0.0908,1.0000
11.250,1.2553,0.04577,0.03737,-0.0148,0.0882,1.0000
11.500,1.2639,0.04793,0.03977,-0.0128,0.0854,1.0000
11.750,1.2761,0.05012,0.04207,-0.0115,0.0828,1.0000
12.000,1.2907,0.05426,0.04622,-0.0112,0.0802,1.0000
12.250,1.2781,0.05664,0.04906,-0.0072,0.0793,1.0000
12.500,1.2610,0.05934,0.05213,-0.0031,0.0786,1.0000
12.750,1.2411,0.06248,0.05559,0.0004,0.0780,1.0000
13.000,1.2187,0.06618,0.05959,0.0029,0.0776,1.0000
13.250,1.1933,0.07055,0.06423,0.0044,0.0775,1.0000
13.500,1.1650,0.07573,0.06968,0.0045,0.0777,1.0000
13.750,1.1339,0.08190,0.07607,0.0032,0.0781,1.0000
14.000,1.1009,0.08918,0.08355,0.0004,0.0787,1.0000
14.250,1.0677,0.09758,0.09211,-0.0035,0.0794,1.0000
14.500,1.0377,0.10673,0.10136,-0.0080,0.0800,1.0000
